restaurant_name,cuisine_type,restaurant_id
Hangawi,Korean,1
Blue Ribbon Sushi Izakaya,Japanese,2
Cafe Habana,Mexican,3
Blue Ribbon Fried Chicken,American,4
Dirty Bird to Go,American,5
Tamarind TriBeCa,Indian,6
The Meatball Shop,Italian,7
Barbounia,Mediterranean,8
Anjappar Chettinad,Indian,9
Bukhara Grill,Indian,10
Big Wong Restaurant _¤¾Ñ¼,Chinese,11
Empanada Mama (closed),Mexican,12
Pylos,Mediterranean,13
Lucky's Famous Burgers,American,14
Shake Shack,American,15
Sushi of Gari,Japanese,16
RedFarm Hudson,Chinese,17
Blue Ribbon Sushi,Japanese,18
Five Guys Burgers and Fries,American,19
Tortaria,Mexican,20
Cafe Mogador,Middle Eastern,21
Otto Enoteca Pizzeria,Italian,22
Vezzo Thin Crust Pizza,Italian,23
Sushi of Gari 46,Japanese,24
The Kati Roll Company,Indian,25
Klong,Thai,26
5 Napkin Burger,American,27
TAO,Japanese,28
Parm,Italian,29
Sushi Samba,Japanese,30
Haru Gramercy Park,Japanese,31
Chipotle Mexican Grill $1.99 Delivery,Mexican,32
RedFarm Broadway,Chinese,33
Cafeteria,American,34
DuMont Burger,American,35
Sarabeth's East,American,36
Hill Country Fried Chicken,Southern,37
Bistango,Italian,38
Jack's Wife Freda,Mediterranean,39
Mamoun's Falafel,Mediterranean,40
Prosperity Dumpling,Chinese,41
Blue Ribbon Sushi Bar & Grill,Japanese,42
Westville Hudson,American,43
Blue Ribbon Brooklyn,American,44
Nobu Next Door,Japanese,45
Osteria Morini,Italian,46
Haandi,Indian,47
Benihana,Japanese,48
Han Dynasty,Chinese,49
Chote Nawab,Indian,50
Mission Cantina,Mexican,51
Xi'an Famous Foods,Chinese,52
Rubirosa,Italian,53
Joe's Shanghai _Àü£¾÷´,Chinese,54
Bareburger,American,55
The Odeon,American,56
Pongsri Thai,Thai,57
Yama Japanese Restaurant,Japanese,58
Momoya,Japanese,59
The Meatball Shop,American,60
Balthazar Boulangerie,French,61
CafÌ© China,Chinese,62
Boqueria,Spanish,63
Song Thai Restaurant & Bar,Thai,64
Five Leaves,American,65
Pinto Nouveau Thai Bistro,Thai,66
Amy Ruth's,Southern,67
Pepe Giallo,Italian,68
indikitch,Indian,69
Yama 49,Japanese,70
Piccolo Angolo,Italian,71
Pepe Rosso To Go,Italian,72
L'Express,French,73
Amma,Indian,74
Delicatessen,American,75
S'MAC,American,76
Vanessa's Dumplings,Chinese,77
Bhatti Indian Grill,Indian,78
Taro Sushi,Japanese,79
Donburi-ya,Japanese,80
Hatsuhana,Japanese,81
Samurai Mama,Japanese,82
Waverly Diner,American,83
Tarallucci e Vino Restaurant,Italian,84
P.J. Clarke's,American,85
Lantern Thai Kitchen,Thai,86
ilili Restaurant,Middle Eastern,87
The Smile,American,88
Vanessa's Dumpling House,Chinese,89
Bubby's ,American,90
Woorijip,Korean,91
Dirty Bird To Go (archived),American,92
Haveli Indian Restaurant,Indian,93
Dos Caminos,Mexican,94
da Umberto,Italian,95
Sushi of Gari Tribeca,Japanese,96
Burger Joint,American,97
Room Service,Thai,98
Sarabeth's Restaurant,American,99
Xe May Sandwich Shop,Vietnamese,100
Hibino,Japanese,101
Mira Sushi,Japanese,102
Melt Shop,American,103
J. G. Melon,American,104
Hummus Place,Middle Eastern,105
Saravanaa Bhavan,Indian,106
Friend of a Farmer,American,107
The Loop,Japanese,108
Balade,Middle Eastern,109
Posto,Italian,110
Terakawa Ramen,Japanese,111
Kambi Ramen House,Japanese,112
Wo Hop Restaurant,Chinese,113
Spice Thai,Thai,114
Dickson's Farmstand Meats,American,115
UVA Wine Bar & Restaurant,Italian,116
Serafina Fabulous Pizza,Italian,117
Gaia Italian Cafe,Italian,118
Chola Eclectic Indian Cuisine,Indian,119
Hot Kitchen,Chinese,120
Junoon,Indian,121
Ravagh Persian Grill,Middle Eastern,122
Rohm Thai,Thai,123
Dig Inn Seasonal Market,American,124
Olea,Mediterranean,125
Cho Dang Gol,Korean,126
El Parador Cafe,Mexican,127
Socarrat Paella Bar,Spanish,128
Don's Bogam BBQ & Wine Bar,Korean,129
Alidoro,American,130
Tony's Di Napoli,Italian,131
Cipriani Le Specialita,Italian,132
Sushi Choshi,Japanese,133
Kanoyama,Japanese,134
V-Nam Cafe,Vietnamese,135
Zero Otto Nove,Italian,136
Dos Caminos Soho,Mexican,137
Go! Go! Curry!,Japanese,138
La Follia,Italian,139
Izakaya Ten,Japanese,140
12 Chairs,Middle Eastern,141
Philippe Chow,Chinese,142
The MasalaWala,Indian,143
brgr,American,144
Carmine's,Italian,145
Asuka Sushi,Japanese,146
Aurora,Italian,147
Sarabeth's,American,148
Crema Restaurante,Mexican,149
Big Daddy's,American,150
Moonstruck on Second,American,151
Cafe de La Esquina,Mexican,152
Olive Garden,Italian,153
67 Burger,American,154
Tres Carnes,Mexican,155
Schnipper's Quality Kitchen,American,156
Nha Trang One,Vietnamese,157
Market Table,American,158
Galli Restaurant,Italian,159
Hampton Chutney Co.,Thai,160
Byblos Restaurant,Middle Eastern,161
Grand Sichuan International,Chinese,162
Le Grainne Cafe,French,163
Il Bambino,Italian,164
Kori Restaurant and Bar,Korean,165
DespaÌ±a,Spanish,166
Lamarca Pasta,Italian,167
Lucky Strike,American,168
Paul & Jimmy's,Italian,169
Hunan Manor,Chinese,170
Coppola's East,Italian,171
Emporio,Italian,172
Wa Jeal,Chinese,173
Le Zie 2000 Trattoria,Italian,174
Rye House,American,175
Hiroko's Place,Japanese,176
Frank Restaurant,Italian,177
Sarabeth's West,American,178
'wichcraft,American,179
