order_id,restaurant_name,customer_id,cost_of_the_order,rating,delivery_time,day_of_the_week,cuisine_type,restaurant_id
1477147,Hangawi,337525,30.75,0.0,20,Weekend,Korean,1
1477685,Blue Ribbon Sushi Izakaya,358141,12.08,0.0,23,Weekend,Japanese,2
1477070,Cafe Habana,66393,12.23,5.0,28,Weekday,Mexican,3
1477334,Blue Ribbon Fried Chicken,106968,29.2,3.0,15,Weekend,American,4
1478249,Dirty Bird to Go,76942,11.59,4.0,24,Weekday,American,5
1477224,Tamarind TriBeCa,147468,25.22,3.0,24,Weekday,Indian,6
1477894,The Meatball Shop,157711,6.07,0.0,21,Weekend,Italian,7
1477859,Barbounia,89574,5.97,3.0,30,Weekday,Mediterranean,8
1477174,Anjappar Chettinad,121706,16.44,5.0,26,Weekday,Indian,9
1477311,Bukhara Grill,39705,7.18,5.0,26,Weekday,Indian,10
1477895,Big Wong Restaurant _¤¾Ñ¼,143926,5.92,0.0,28,Weekday,Chinese,11
1478437,Empanada Mama (closed),221206,8.1,5.0,22,Weekend,Mexican,12
1476966,Blue Ribbon Fried Chicken,129969,24.3,5.0,17,Weekend,American,4
1477449,Pylos,104548,11.3,3.0,23,Weekend,Mediterranean,13
1478198,Lucky's Famous Burgers,62667,12.13,0.0,30,Weekday,American,14
1477414,Shake Shack,66222,16.2,5.0,25,Weekend,American,15
1477486,Sushi of Gari,104555,16.98,0.0,16,Weekend,Japanese,16
1477373,Blue Ribbon Sushi Izakaya,139885,33.03,0.0,22,Weekend,Japanese,2
1477138,RedFarm Hudson,47280,14.12,4.0,24,Weekend,Chinese,17
1477354,Blue Ribbon Sushi,67487,16.2,4.0,26,Weekend,Japanese,18
1478296,Five Guys Burgers and Fries,250494,24.2,4.0,24,Weekend,American,19
1478226,Shake Shack,137565,15.91,0.0,20,Weekend,American,15
1478287,Shake Shack,150599,29.1,5.0,30,Weekday,American,15
1478014,Tortaria,54630,8.92,0.0,16,Weekend,Mexican,20
1476714,Cafe Mogador,363783,15.86,0.0,29,Weekday,Middle Eastern,21
1476693,Cafe Mogador,41877,29.1,5.0,29,Weekday,Middle Eastern,21
1476995,The Meatball Shop,371590,21.88,5.0,27,Weekday,Italian,7
1476844,Otto Enoteca Pizzeria,175290,14.02,0.0,16,Weekend,Italian,22
1477015,Vezzo Thin Crust Pizza,76686,9.17,0.0,24,Weekend,Italian,23
1476889,Sushi of Gari 46,149984,12.18,0.0,29,Weekday,Japanese,24
1478289,The Kati Roll Company,318874,31.33,5.0,25,Weekend,Indian,25
1477699,Klong,302790,29.05,5.0,24,Weekend,Thai,26
1476855,5 Napkin Burger,317794,8.39,0.0,24,Weekday,American,27
1477748,TAO,105349,9.12,0.0,18,Weekend,Japanese,28
1478244,Parm,181782,29.1,5.0,26,Weekend,Italian,29
1478310,Sushi Samba,65224,15.47,0.0,26,Weekend,Japanese,30
1478017,Blue Ribbon Sushi,148649,16.01,4.0,31,Weekday,Japanese,18
1476871,The Meatball Shop,118709,24.3,4.0,29,Weekday,Italian,7
1477999,Haru Gramercy Park,208020,29.83,5.0,32,Weekday,Japanese,31
1476891,Shake Shack,220693,19.89,0.0,19,Weekend,American,15
1477425,Chipotle Mexican Grill $1.99 Delivery,378482,19.35,4.0,18,Weekend,Mexican,32
1478143,TAO,337525,33.22,0.0,19,Weekend,Japanese,28
1477267,RedFarm Broadway,133637,24.25,5.0,15,Weekend,Chinese,33
1477728,Cafeteria,107909,16.44,0.0,22,Weekend,American,34
1476908,Five Guys Burgers and Fries,365237,22.75,5.0,20,Weekend,American,19
1476581,The Meatball Shop,322162,6.74,5.0,23,Weekend,Italian,7
1476930,DuMont Burger,198802,29.05,5.0,30,Weekend,American,35
1477621,Sarabeth's East,122864,13.78,4.0,24,Weekend,American,36
1478354,Blue Ribbon Fried Chicken,52037,19.89,0.0,24,Weekday,American,4
1477251,Hill Country Fried Chicken,81110,16.93,5.0,21,Weekend,Southern,37
1477656,Bistango,300003,21.88,0.0,19,Weekend,Italian,38
1477883,Blue Ribbon Fried Chicken,91817,29.39,0.0,28,Weekend,American,4
1477205,TAO,112036,20.23,5.0,20,Weekend,Japanese,28
1478107,RedFarm Broadway,73895,29.1,0.0,23,Weekend,Chinese,33
1477760,Jack's Wife Freda,130507,22.75,3.0,29,Weekend,Mediterranean,39
1476562,Mamoun's Falafel,129486,14.12,3.0,15,Weekend,Mediterranean,40
1477692,Sushi of Gari 46,313340,14.6,3.0,24,Weekday,Japanese,24
1477889,RedFarm Hudson,177250,12.23,5.0,33,Weekday,Chinese,17
